Group,H0,H1,H2,Page,Raw XML Line (stripped of <I> and <B>)
"",Transmission Control Protocol/Internet Protocol (TCP/IP),early work,,44,"""<H1>early work, <PAGE><I>44</I></PAGE></H1>"""
"",Application architecture,HTTP and URIs,,44,"""<H1>HTTP and URIs, <PAGE><B>44</B></PAGE></H1>"""
"",Transmission Control Protocol/Internet Protocol (TCP/IP),port numbers,,45,"""<H1>port numbers, <PAGE>45</PAGE></H1>"""
"",Root zone,,,45,"""<H0>Root zone, <PAGE><I>45</I></PAGE></H0>"""
"",Partial URI,,,45,"""<H0>Partial URI, <PAGE><I>45</I></PAGE></H0>"""
"",Port numbers,TCP/IP,,45,"""<H1>TCP/IP, <PAGE>45</PAGE></H1>"""
"",IP address,networking explanation,,45,"""<H1>networking explanation, <PAGE><I>45</I></PAGE></H1>"""
"",Network interface device,,,45,"""<H0>Network interface device, <PAGE><I>45</I></PAGE></H0>"""
"",Public-key cryptography,networking explanation,,45,"""<H1>networking explanation, <PAGE><I>45</I></PAGE></H1>"""
"",Networking,explanation,,45,"""<H1>explanation, <PAGE><I>45</I></PAGE></H1>"""
"",HyperText Transfer Protocol (HTTP),request example,,45,"""<H1>request example, <PAGE><I>45</I></PAGE></H1>"""
"",Resource,URI,,45,"""<H1>URI, <PAGE>45</PAGE></H1>"""
"",Full URI,,,45,"""<H0>Full URI, <PAGE><I>45</I></PAGE></H0>"""
"",IPv6networking explanation,,,45,"""<H0>IPv6, networking explanation, <PAGE><I>45</I></PAGE></H0>"""
"",Uniform Resource Identifier (URI),URL comparison,,45,"""<H1>URL comparison, <PAGE><I>45</I></PAGE></H1>"""
"",Uniform Resource Locators (URL),URI comparison,,45,"""<H1>URI comparison, <PAGE><I>45</I></PAGE></H1>"""
"",Port numbers,IANA assignment,,45,"""<H1>IANA assignment, <PAGE><I>45</I></PAGE></H1>"""
"",Domain Name System (DNS),root zone,,45,"""<H1>root zone, <PAGE><I>45</I></PAGE></H1>"""
"",Hostnames,URI,,45,"""<H1>URI, <PAGE>45</PAGE></H1>"""
"",Port numbers,URI,,45,"""<H1>URI, <PAGE>45</PAGE></H1>"""
"",Communication,HTTP request,,45,"""<H1>HTTP request, <PAGE><I>45</I></PAGE></H1>"""
"",Uniform Resource Identifier (URI),HTTP request,,45,"""<H1>HTTP request, <PAGE><I>45,</I> 59</PAGE></H1>"""
"",Multi-homingnetworking explanation,,,45,"""<H0>Multi-homing, networking explanation, <PAGE><I>45</I></PAGE></H0>"""
"",Base URI,,,45,"""<H0>Base URI, <PAGE><I>45</I></PAGE></H0>"""
"",HTTP method,request,,45,"""<H1>request, <PAGE><I>45</I></PAGE></H1>"""
"",Uniform Resource Identifier (URI),definition,,45,"""<H1>definition, <PAGE>45</PAGE></H1>"""
"",Scheme,URI,,45,"""<H1>URI, <PAGE>45</PAGE></H1>"""
"",Web servers,networking explanation,,45,"""<H1>networking explanation, <PAGE><I>45</I></PAGE></H1>"""
"",Secure HTTP protocol (HTTPS),networking explanation,,45,"""<H1>networking explanation, <PAGE><I>45</I></PAGE></H1>"""
"",HTTP request,example,,45,"""<H1>example, <PAGE><I>45</I></PAGE></H1>"""
"",Internet Assigned Numbers Authority (IANA),,,45,"""<H0>Internet Assigned Numbers Authority (IANA), <PAGE><I>45</I></PAGE></H0>"""
"",HyperText Transfer Protocol (HTTP),stateless protocol,,46,"""<H1>stateless protocol, <PAGE>46</PAGE></H1>"""
"",Communication,cookies,,46,"""<H1>cookies, <PAGE><I>46</I></PAGE></H1>"""
"",Stateless protocol,HTTP,,46,"""<H1>HTTP, <PAGE>46</PAGE></H1>"""
"",Session,cookies,,46,"""<H1>cookies, <PAGE>46</PAGE></H1>"""
"",CookiesHTTP,,,46,"""<H0>Cookies, HTTP, <PAGE><I>46</I></PAGE></H0>"""
"",Web browsers,cookies,,46,"""<H1>cookies, <PAGE>46</PAGE></H1>"""
"",HTTP request,stateless protocol,,46,"""<H1>stateless protocol, <PAGE>46</PAGE></H1>"""
"",Client pullserver push comparison,,,47,"""<H0>Client pull, server push comparison, <PAGE><I>47</I></PAGE></H0>"""
"",WebSocketsclient pull server push,,,47,"""<H0>WebSockets, client pull <I>vs.</I> server push, <PAGE><I>47</I></PAGE></H0>"""
"",Server pushclient pull comparison,,,47,"""<H0>Server push, client pull comparison, <PAGE><I>47</I></PAGE></H0>"""
"",Communication,client pull server push,,47,"""<H1>client pull <I>vs.</I> server push, <PAGE><I>47</I></PAGE></H1>"""
"",HyperText Transfer Protocol (HTTP),client pull server push,,47,"""<H1>client pull <I>vs.</I> server push, <PAGE><I>47</I></PAGE></H1>"""
"",HyperText Markup Language (HTML),HTML 5 client pull server push,,47,"""<H1>HTML 5 client pull <I>vs.</I> server push, <PAGE><I>47</I></PAGE></H1>"""
"",Request-reply protocolHTTP,,,47,"""<H0>Request-reply protocol, HTTP, <PAGE><I>47</I></PAGE></H0>"""
"",eXtended HyperText Markup Language (XHTML),HTML 5,,48,"""<H1>HTML 5, <PAGE>48</PAGE></H1>"""
"",CSS Zen Garden,,,48,"""<H0>CSS Zen Garden, <PAGE><I>48</I></PAGE></H0>"""
"",Cascading Style Sheets (CSS),overview,,48,"""<H1>overview, <PAGE><B>48</B></PAGE></H1>"""
"",HyperText Markup Language (HTML),overview,,48,"""<H1>overview, <PAGE><B>48</B></PAGE></H1>"""
"",Markup language,,,48,"""<H0>Markup language, <PAGE>48</PAGE></H0>"""
"",eXtensible Markup Language (XML),HTML 5,,48,"""<H1>HTML 5, <PAGE>48</PAGE></H1>"""
"",General Markup Language,,,48,"""<H0>General Markup Language, <PAGE><I>48</I></PAGE></H0>"""
"",Selector notationsCSS,,,48,"""<H0>Selector notations, CSS, <PAGE><I>48,</I> <I>49</I></PAGE></H0>"""
"",Application architecture,HTML and CSS,,48,"""<H1>HTML and CSS, <PAGE><B>48</B></PAGE></H1>"""
"",Standard Generalized Markup Language (SGML),,,48,"""<H0>Standard Generalized Markup Language (SGML), <PAGE><I>48</I></PAGE></H0>"""
"",HyperText Markup Language (HTML),HTML 5 features,,48,"""<H1>HTML 5 features, <PAGE>48</PAGE></H1>"""
"",HyperText Markup Language (HTML),introduction,,48,"""<H1>introduction, <PAGE><I>48</I></PAGE></H1>"""
"",Cascading Style Sheets (CSS),constructs,,49,"""<H1>constructs, <PAGE><I>49</I></PAGE></H1>"""
"",Selector notationsCSS,,,49,"""<H0>Selector notations, CSS, <PAGE><I>48,</I> <I>49</I></PAGE></H0>"""
"",Cascading Style Sheets (CSS),introduction,,49,"""<H1>introduction, <PAGE><I>49</I></PAGE></H1>"""
"",Web servers,content rendering,,50,"""<H1>content rendering, <PAGE><I>50</I></PAGE></H1>"""
"",Cascading Style Sheets (CSS),content rendering,,50,"""<H1>content rendering, <PAGE><I>50</I></PAGE></H1>"""
"",Web browsers,content rendering,,50,"""<H1>content rendering, <PAGE><I>50</I></PAGE></H1>"""
"",Pastebin,,,50,"""<H0>Pastebin, <PAGE><I>50,</I> <I>102,</I> <I>217</I></PAGE></H0>"""
"",Software as a Service (SaaS),content rendering,,50,"""<H1>content rendering, <PAGE><I>50</I></PAGE></H1>"""
"",Web servers,three-tier architecture,,51,"""<H1>three-tier architecture, <PAGE>51</PAGE></H1>"""
"",Horizontal scaling,,,51,"""<H0>Horizontal scaling, <PAGE><B>51,</B> 65</PAGE></H0>"""
"",Rack application server,Rails basics,,51,"""<H1>Rails basics, <PAGE>51, 100</PAGE></H1>"""
"",Logic tier3-tier architecture,,,51,"""<H0>Logic tier, 3-tier architecture, <PAGE>51</PAGE></H0>"""
"",Presentation tier,,,51,"""<H0>Presentation tier, <PAGE>51</PAGE></H0>"""
"",Three-tier architecture,overview,,51,"""<H1>overview, <PAGE><B>51,</B> <I>52,</I> <I>53</I></PAGE></H1>"""
"",WEBrick,three-tier architecture,,51,"""<H1>three-tier architecture, <PAGE>51</PAGE></H1>"""
"",LAMP Stack,,,51,"""<H0>LAMP Stack, <PAGE><I>51</I></PAGE></H0>"""
"",Google AppEngine,,,51,"""<H0>Google AppEngine, <PAGE>51</PAGE></H0>"""
"",Persistence tier3-tier architecture,,,51,"""<H0>Persistence tier, 3-tier architecture, <PAGE>51</PAGE></H0>"""
"",Rotten Potatoes,tiers,,51,"""<H1>tiers, <PAGE>51</PAGE></H1>"""
"",Web application frameworks,three-tier architecture,,51,"""<H1>three-tier architecture, <PAGE>51</PAGE></H1>"""
"",HTTP serverthree-tier architecture,,,51,"""<H0>HTTP server, three-tier architecture, <PAGE>51</PAGE></H0>"""
"",Middleware,,,51,"""<H0>Middleware, <PAGE><I>51</I></PAGE></H0>"""
"",Application architecture,three-tier and horizontal scaling,,51,"""<H1>three-tier and horizontal scaling, <PAGE><B>51</B></PAGE></H1>"""
"",Application serverthree-tier architecture,,,51,"""<H0>Application server, three-tier architecture, <PAGE>51</PAGE></H0>"""
"",Three-tier architecture,overview,,52,"""<H1>overview, <PAGE><B>51,</B> <I>52,</I> <I>53</I></PAGE></H1>"""
"",Master-slavethree-tier architecture,,,52,"""<H0>Master-slave, three-tier architecture, <PAGE>52</PAGE></H0>"""
"",Stateless protocol,three-tier architecture,,52,"""<H1>three-tier architecture, <PAGE><I>52</I></PAGE></H1>"""
"",Shared-nothing architecturethree-tier,,,52,"""<H0>Shared-nothing architecture, three-tier, <PAGE><I>52</I></PAGE></H0>"""
"",HyperText Transfer Protocol (HTTP),three-tier architecture,,52,"""<H1>three-tier architecture, <PAGE><I>52</I></PAGE></H1>"""
"",Load balancers3-tier architecture,,,52,"""<H0>Load balancers, 3-tier architecture, <PAGE><I>52</I></PAGE></H0>"""
"",Web application frameworks,databases,,53,"""<H1>databases, <PAGE><I>53</I></PAGE></H1>"""
"",Three-tier architecture,overview,,53,"""<H1>overview, <PAGE><B>51,</B> <I>52,</I> <I>53</I></PAGE></H1>"""
"",Databases,purpose,,53,"""<H1>purpose, <PAGE><I>53</I></PAGE></H1>"""
"",Relational databasestorage structure,,,53,"""<H0>Relational database, storage structure, <PAGE><I>53</I></PAGE></H0>"""
"",Facebook,database use,,53,"""<H1>database use, <PAGE><I>53</I></PAGE></H1>"""
"",Controllers,MVC,,54,"""<H1>MVC, <PAGE>54</PAGE></H1>"""
"",Views,MVC,,54,"""<H1>MVC, <PAGE>54</PAGE></H1>"""
"",Models,MVC,,54,"""<H1>MVC, <PAGE>54, <I>108</I></PAGE></H1>"""
"",Model-View-Controller (MVC),overview,,54,"""<H1>overview, <PAGE><B>54</B></PAGE></H1>"""
"",Application architecture,MVC,,54,"""<H1>MVC, <PAGE><B>54</B></PAGE></H1>"""
"",Page Controller,MVC,,54,"""<H1>MVC, <PAGE>54</PAGE></H1>"""
"",Template View,MVC,,54,"""<H1>MVC, <PAGE>54</PAGE></H1>"""
"",Rotten Potatoes,views,,54,"""<H1>views, <PAGE>54</PAGE></H1>"""
"",Model-View-Controller (MVC),web app comparison,,55,"""<H1>web app comparison, <PAGE><I>55</I></PAGE></H1>"""
"",Front Controller,MVC,,55,"""<H1>MVC, <PAGE>55</PAGE></H1>"""
"",Web application frameworks,comparison,,55,"""<H1>comparison, <PAGE><I>55</I></PAGE></H1>"""
"",Template View,web app comparison,,55,"""<H1>web app comparison, <PAGE><I>55</I></PAGE></H1>"""
"",Front Controller,web app comparison,,55,"""<H1>web app comparison, <PAGE><I>55</I></PAGE></H1>"""
"",Page Controller,web app comparison,,55,"""<H1>web app comparison, <PAGE><I>55</I></PAGE></H1>"""
"",Model-View-Controller (MVC),app requests,,56,"""<H1>app requests, <PAGE><I>56</I></PAGE></H1>"""
"",Marshalling,,,57,"""<H0>Marshalling, <PAGE>57, <I>173</I></PAGE></H0>"""
"",Deserializing,,,57,"""<H0>Deserializing, <PAGE>57, 199</PAGE></H0>"""
"",TablesRDBMS,,,57,"""<H0>Tables, RDBMS, <PAGE>57, <I>57</I></PAGE></H0>"""
"",Rotten Potatoes,records,,57,"""<H1>records, <PAGE>57</PAGE></H1>"""
"",TablesRDBMS,,,57,"""<H0>Tables, RDBMS, <PAGE>57, <I>57</I></PAGE></H0>"""
"",Relational database management system (RDBMS),design,,57,"""<H1>design, <PAGE>57</PAGE></H1>"""
"",ActiveRecord,models,,57,"""<H1>models, <PAGE><B>57</B></PAGE></H1>"""
"",Application architecture,ActiveRecord for models,,57,"""<H1>ActiveRecord for models, <PAGE><B>57</B></PAGE></H1>"""
"",Serializing,,,57,"""<H0>Serializing, <PAGE>57, <I>173,</I> 199</PAGE></H0>"""
"",Fieldsactive records,,,57,"""<H0>Fields, active records, <PAGE>57</PAGE></H0>"""
"",Structured storage,,,57,"""<H0>Structured storage, <PAGE>57</PAGE></H0>"""
"",AttributesRDBMS,,,57,"""<H0>Attributes, RDBMS, <PAGE>57</PAGE></H0>"""
"",Relational algebra formalism,,,57,"""<H0>Relational algebra formalism, <PAGE><I>57</I></PAGE></H0>"""
"",Models,ActiveRecords,,57,"""<H1>ActiveRecords, <PAGE><B>57,</B> <B>107</B></PAGE></H1>"""
"",Unmarshalling,,,57,"""<H0>Unmarshalling, <PAGE>57</PAGE></H0>"""
"",Turing Award,"CoddEdgar F. ""Ted""",,57,"""<H1>Codd, Edgar F. ""Ted,"" <PAGE><I>57</I></PAGE></H1>"""
"",Relational database management system (RDBMS),example table,,57,"""<H1>example table, <PAGE><I>57</I></PAGE></H1>"""
"","CoddEdgar F. ""Ted""",,,57,"""<H0>Codd, Edgar F. ""Ted,"" <PAGE><I>57</I></PAGE></H0>"""
"",Active record architectural pattern,RDBMS,,58,"""<H1>RDBMS, <PAGE>58</PAGE></H1>"""
"",Relational database management system (RDBMS),active record architectural pattern,,58,"""<H1>active record architectural pattern, <PAGE>58</PAGE></H1>"""
"",Patterns,active record architecture,,58,"""<H1>active record architecture, <PAGE>58</PAGE></H1>"""
"",CRUD,definition,,58,"""<H1>definition, <PAGE>58</PAGE></H1>"""
"",FieldingRoy,,,59,"""<H0>Fielding, Roy, <PAGE>59</PAGE></H0>"""
"",Service Oriented Architecture (SOA),REST,,59,"""<H1>REST, <PAGE>59, <I>61</I></PAGE></H1>"""
"",Representational State Transfer (REST),overview,,59,"""<H1>overview, <PAGE><B>59</B></PAGE></H1>"""
"",Resource,Web app as,,59,"""<H1>Web app as, <PAGE>59</PAGE></H1>"""
"",Routes,overview,,59,"""<H1>overview, <PAGE><B>59</B></PAGE></H1>"""
"",BezosJeff,,,59,"""<H0>Bezos, Jeff, <PAGE>59, <I>332</I></PAGE></H0>"""
"",Web browsers,REST,,59,"""<H1>REST, <PAGE>59</PAGE></H1>"""
"",Web application frameworks,Fielding's work,,59,"""<H1>Fielding's work, <PAGE>59</PAGE></H1>"""
"",Application architecture,routescontrollersREST,,59,"""<H1>routes, controllers, REST, <PAGE><B>59</B></PAGE></H1>"""
"",Uniform Resource Identifier (URI),HTTP request,,59,"""<H1>HTTP request, <PAGE><I>45,</I> 59</PAGE></H1>"""
"",Application Programming Interface (API),RESTful,,59,"""<H1>RESTful, <PAGE>59, <B>256</B></PAGE></H1>"""
"",HTTP verb,,,59,"""<H0>HTTP verb, <PAGE>59</PAGE></H0>"""
"",Controllers,overview,,59,"""<H1>overview, <PAGE><B>59</B></PAGE></H1>"""
"",Method,definition,,59,"""<H1>definition, <PAGE>59, <I>256</I></PAGE></H1>"""
"",Web browsers,HEAD,,60,"""<H1>HEAD, <PAGE><I>60</I></PAGE></H1>"""
"",Uniform Resource Identifier (URI),routes,,60,"""<H1>routes, <PAGE><I>60</I></PAGE></H1>"""
"",Rotten Potatoes,movie creation,,60,"""<H1>movie creation, <PAGE><I>60</I></PAGE></H1>"""
"",CRUD,routes,,60,"""<H1>routes, <PAGE><I>60</I></PAGE></H1>"""
"",Routes,examples,,60,"""<H1>examples, <PAGE><I>60</I></PAGE></H1>"""
"",HEADweb browsers,,,60,"""<H0>HEAD, web browsers, <PAGE><I>60</I></PAGE></H0>"""
"",Rotten Potatoes,routes,,60,"""<H1>routes, <PAGE><I>60</I></PAGE></H1>"""
"",Amazon Web Services,APIs,,60,"""<H1>APIs, <PAGE>60</PAGE></H1>"""
"",HTTP method,routes,,60,"""<H1>routes, <PAGE><I>60</I></PAGE></H1>"""
"",Service Oriented Architecture (SOA),REST,,61,"""<H1>REST, <PAGE>59, <I>61</I></PAGE></H1>"""
"",Representational State Transfer (REST),SOA,,61,"""<H1>SOA, <PAGE><I>61</I></PAGE></H1>"""
"",Simple Object Access Protocol (SOAP)REST/WS-* comparison,,,62,"""<H0>Simple Object Access Protocol (SOAP), REST/WS-* comparison, <PAGE><I>62</I></PAGE></H0>"""
"",WS-*REST/SOAP,,,62,"""<H0>WS-*, REST/SOAP, <PAGE><I>62</I></PAGE></H0>"""
"",:format,,,62,"""<H0>:format, <PAGE><I>62</I></PAGE></H0>"""
"",Service Oriented Architecture (SOA),:format in routes,,62,"""<H1>:format in routes, <PAGE><I>62</I></PAGE></H1>"""
"",Interpolationtemplate views,,,62,"""<H0>Interpolation, template views, <PAGE>62, <I>63</I></PAGE></H0>"""
"",Application architecture,Template Views,,62,"""<H1>Template Views, <PAGE><B>62</B></PAGE></H1>"""
"",Template View,overview,,62,"""<H1>overview, <PAGE><B>62</B></PAGE></H1>"""
"",Representational State Transfer (REST),SOAP/WS-* comparison,,62,"""<H1>SOAP/WS-* comparison, <PAGE><I>62</I></PAGE></H1>"""
"",HTML Abstraction Markup Language (Haml),template views,,62,"""<H1>template views, <PAGE>62, <I>63</I></PAGE></H1>"""
"",Index controllertemplate views,,,62,"""<H0>Index controller, template views, <PAGE>62</PAGE></H0>"""
"",Routes,:format,,62,"""<H1>:format, <PAGE><I>62</I></PAGE></H1>"""
"",Representational State Transfer (REST),template views,,63,"""<H1>template views, <PAGE>63</PAGE></H1>"""
"",HTML Abstraction Markup Language (Haml),common constructs,,63,"""<H1>common constructs, <PAGE><I>63</I></PAGE></H1>"""
"",PHP,template views,,63,"""<H1>template views, <PAGE>63</PAGE></H1>"""
"",Interpolationtemplate views,,,63,"""<H0>Interpolation, template views, <PAGE>62, <I>63</I></PAGE></H0>"""
"",Model-View-Controller (MVC),template views,,63,"""<H1>template views, <PAGE>63</PAGE></H1>"""
"",HTML Abstraction Markup Language (Haml),template views,,63,"""<H1>template views, <PAGE>62, <I>63</I></PAGE></H1>"""
"",HyperText Markup Language (HTML),Haml constructs,,63,"""<H1>Haml constructs, <PAGE><I>63</I></PAGE></H1>"""
"",Cascading Style Sheets (CSS),Haml constructs,,63,"""<H1>Haml constructs, <PAGE><I>63</I></PAGE></H1>"""
"",Sharding,RDBMS scalability,,64,"""<H1>RDBMS scalability, <PAGE>64</PAGE></H1>"""
"",Template View,alternatives,,64,"""<H1>alternatives, <PAGE><I>64</I></PAGE></H1>"""
"",Data consistencyRDBMS scalability,,,64,"""<H0>Data consistency, RDBMS scalability, <PAGE>64</PAGE></H0>"""
"",eXtensible Markup Language (XML),Transform View,,64,"""<H1>Transform View, <PAGE><I>64</I></PAGE></H1>"""
"",Active record architectural pattern,Transform View,,64,"""<H1>Transform View, <PAGE><I>64</I></PAGE></H1>"""
"",Scalability,RDBMS,,64,"""<H1>RDBMS, <PAGE>64</PAGE></H1>"""
"",Patterns,Transform View,,64,"""<H1>Transform View, <PAGE><I>64</I></PAGE></H1>"""
"",Scalability,Rails,,64,"""<H1>Rails, <PAGE>64</PAGE></H1>"""
"",Service Oriented Architecture (SOA),Transform View,,64,"""<H1>Transform View, <PAGE><I>64</I></PAGE></H1>"""
"",Relational database management system (RDBMS),scalability,,64,"""<H1>scalability, <PAGE>64</PAGE></H1>"""
"",Transform Viewtemplate view alternatives,,,64,"""<H0>Transform View, template view alternatives, <PAGE><I>64</I></PAGE></H0>"""
"",Ruby on Rails basics,scalability,,64,"""<H1>scalability, <PAGE>64</PAGE></H1>"""
"",Horizontal scaling,,,65,"""<H0>Horizontal scaling, <PAGE><B>51,</B> 65</PAGE></H0>"""
"",Per-computer performance,,,65,"""<H0>Per-computer performance, <PAGE>65</PAGE></H0>"""
"",37 signals,,,66,"""<H0>37 signals, <PAGE><I>66</I></PAGE></H0>"""
"",HyperText Transfer Protocol (HTTP),development,,66,"""<H1>development, <PAGE><I>66</I></PAGE></H1>"""
"",World Wide Web Consortium (W3C)HTTP/HTML development,,,66,"""<H0>World Wide Web Consortium (W3C), HTTP/HTML development, <PAGE><I>66</I></PAGE></H0>"""
"",HyperText Markup Language (HTML),development,,66,"""<H1>development, <PAGE><I>66</I></PAGE></H1>"""
"",Berners-LeeTim,,,66,"""<H0>Berners-Lee, Tim, <PAGE><I>66</I></PAGE></H0>"""
"",Ruby on Rails basics,origins,,66,"""<H1>origins, <PAGE><I>66</I></PAGE></H1>"""
"",GrayJim,,,68,"""<H0>Gray, Jim, <PAGE><I>68</I></PAGE></H0>"""
"",Turing Award,GrayJim,,68,"""<H1>Gray, Jim, <PAGE><I>68</I></PAGE></H1>"""
"",Ruby on Rails basics,overview,,70,"""<H1>overview, <PAGE><B>70</B></PAGE></H1>"""
"",Wildcards,regular expressions,,70,"""<H1>regular expressions, <PAGE>70</PAGE></H1>"""
"",Framework concepts,Ruby basics,overview,70,"""<H2>overview, <PAGE><B>70</B></PAGE></H2>"""
"",Java Ruby,Ruby overview,,70,"""<H1>Ruby overview, <PAGE><B>70</B></PAGE></H1>"""
"",Don't Repeat Yourself (DRY),Ruby's metaprogramming features,,70,"""<H1>Ruby's metaprogramming features, <PAGE>70</PAGE></H1>"""
"",Regular expressions (regexps),Ruby overview,,70,"""<H1>Ruby overview, <PAGE>70, <I>72</I></PAGE></H1>"""
"",Symbol,Ruby overview,,70,"""<H1>Ruby overview, <PAGE>70</PAGE></H1>"""
"",Ruby on Rails basics,elements and control structures,,71,"""<H1>elements and control structures, <PAGE><I>71</I></PAGE></H1>"""
"",nil,Ruby regular expressions,,72,"""<H1>Ruby regular expressions, <PAGE>72</PAGE></H1>"""
"",falseRuby regular expressions,,,72,"""<H0>false, Ruby regular expressions, <PAGE>72</PAGE></H0>"""
"",Regular expressions (regexps),Ruby overview,,72,"""<H1>Ruby overview, <PAGE>70, <I>72</I></PAGE></H1>"""
"",Parentheses,Ruby regular expressions,,72,"""<H1>Ruby regular expressions, <PAGE>72</PAGE></H1>"""
"",Ruby on Rails basics,regular expressions,,72,"""<H1>regular expressions, <PAGE><I>72</I></PAGE></H1>"""
"",Dynamic typing,Ruby objects,,73,"""<H1>Ruby objects, <PAGE>73</PAGE></H1>"""
"",Java Ruby,objects,,73,"""<H1>objects, <PAGE><B>73</B></PAGE></H1>"""
"",Array class,Ruby objects,,73,"""<H1>Ruby objects, <PAGE>73</PAGE></H1>"""
"",Ruby on Rails basics,objects,,73,"""<H1>objects, <PAGE><B>73</B></PAGE></H1>"""
"",ObjectsRuby,,,73,"""<H0>Objects, Ruby, <PAGE><B>73</B></PAGE></H0>"""
"",Hash classRuby objects,,,73,"""<H0>Hash class, Ruby objects, <PAGE>73</PAGE></H0>"""
"",Framework concepts,Ruby basics,objects,73,"""<H2>objects, <PAGE><B>73</B></PAGE></H2>"""
"",String class,Ruby objects,,73,"""<H1>Ruby objects, <PAGE>73</PAGE></H1>"""
"",Float classRuby objects,,,73,"""<H0>Float class, Ruby objects, <PAGE>73</PAGE></H0>"""
"",Fixnum class,Ruby objects,,73,"""<H1>Ruby objects, <PAGE>73</PAGE></H1>"""
"",Smalltalk,,,74,"""<H0>Smalltalk, <PAGE>74, <I>384,</I> <I>432</I></PAGE></H0>"""
"",Looking up a methodRuby objects,,,74,"""<H0>Looking up a method, Ruby objects, <PAGE>74</PAGE></H0>"""
"",Object-orientation (OO),Ruby objects,,74,"""<H1>Ruby objects, <PAGE>74</PAGE></H1>"""
"",Root classRuby objects,,,74,"""<H0>Root class, Ruby objects, <PAGE>74</PAGE></H0>"""
"",BasicObject classRuby objects,,,74,"""<H0>BasicObject class, Ruby objects, <PAGE>74</PAGE></H0>"""
"",Simula,,,74,"""<H0>Simula, <PAGE>74, <I>134</I></PAGE></H0>"""
"",Class,Ruby objects,,74,"""<H1>Ruby objects, <PAGE><I>74,</I> <B>78</B></PAGE></H1>"""
"",MetaclassRuby objects,,,74,"""<H0>Metaclass, Ruby objects, <PAGE><I>74</I></PAGE></H0>"""
"",Method chainingRuby objects,,,74,"""<H0>Method chaining, Ruby objects, <PAGE>74</PAGE></H0>"""
